task,dataset,metric,reference,coef,se,p,bic,ci_0.025,ci_0.975
ratings,wikitext,c_npmi_10,full,4.1027909859013,0.31140230870063446,1.2188690575804466e-39,3759.2209884261883,3.4924536761454323,4.713128295657167
ratings,wikitext,c_npmi_10,nytimes_full,2.9749333280134955,0.29627930563024163,1.0067330241297497e-23,3836.042370046858,2.3942365596136868,3.5556300964133043
ratings,wikitext,c_npmi_10,test,4.684631922774573,0.33088609450810735,1.6705355090295292e-45,3730.1243377993605,4.036107094553566,5.333156750995579
ratings,wikitext,c_npmi_10,train,4.294215197359867,0.307684738339393,2.870230349822412e-44,3737.5232626031006,3.691164191622026,4.897266203097708
ratings,wikitext,c_npmi_10,val,1.446806940802663,0.21663730368268613,2.4144045818367984e-11,3895.195199077404,1.0222056278767317,1.871408253728594
ratings,wikitext,c_uci,full,0.22873403382824434,0.02228915057115125,1.043847321132032e-24,3831.0914266785458,0.18504810146279752,0.27241996619369113
ratings,wikitext,c_v,full,2.819568909442128,0.18026182334146498,3.7955904002713046e-55,3687.4584585827643,2.466262227905335,3.1728755909789212
ratings,wikitext,c_v,nytimes_full,2.0072197107080596,0.16380391077387188,1.6031255142016996e-34,3786.2479997922483,1.6861699450644583,2.328269476351661
ratings,wikitext,c_v,test,2.9494924750885287,0.18454695728676832,1.6965197486881542e-57,3675.6568557879204,2.587787085350011,3.3111978648270464
ratings,wikitext,c_v,train,2.857542455753064,0.1739708780578426,1.2583692790074205e-60,3661.252861267474,2.5165658004008833,3.198519111105245
ratings,wikitext,c_v,val,0.7994913602394971,0.09940236626607617,8.767880439259787e-16,3875.169083168348,0.6046663023799286,0.9943164180990656
ratings,wikitext,u_mass,full,0.09577357851188698,0.039296036492567285,0.014800158667097753,3933.9573355945977,0.018754762251283433,0.17279239477249053
ratings,nytimes,c_npmi_10,full,1.9235807995788807,0.21083888391269595,7.276121123277108e-20,3939.271371315064,1.5103441805693754,2.336817418588386
ratings,nytimes,c_npmi_10,test,1.9237263800787319,0.21057553894366882,6.506652895228808e-20,3939.048451120737,1.5110059077240294,2.3364468524334345
ratings,nytimes,c_npmi_10,train,1.7688147167263595,0.20112172617431306,1.4337053631474548e-18,3945.3685677076955,1.374623376916179,2.1630060565365397
ratings,nytimes,c_npmi_10,val,1.853523063040599,0.2065142784195182,2.826370939692401e-19,3942.0339585170586,1.448762515045066,2.258283611036132
ratings,nytimes,c_npmi_10,wikitext_full,2.0798126429797863,0.21578268741902787,5.5007365981667705e-22,3928.8388899941874,1.6568863471512274,2.502738938808345
ratings,nytimes,c_uci,full,0.2280740055583852,0.01906439679522357,5.528725064431906e-33,3876.9273352454384,0.19070847445276617,0.2654395366640042
ratings,nytimes,c_v,full,2.5535188679782004,0.15346473788101836,3.6288542126804295e-62,3739.3599171091937,2.252733508834525,2.854304227121876
ratings,nytimes,c_v,test,2.5505538263066736,0.1530176433118065,2.2260302180810567e-62,3738.2700415241234,2.2506447564163365,2.8504628961970107
ratings,nytimes,c_v,train,2.6766227504816227,0.1517277754537946,1.194269810717049e-69,3702.139875610355,2.379241775137805,2.9740037258254404
ratings,nytimes,c_v,val,2.592513044876002,0.14992823057078739,5.433212695775689e-67,3715.192040398316,2.2986591126914413,2.8863669770605624
ratings,nytimes,c_v,wikitext_full,2.511637505999278,0.15207570654721422,2.8283648567633854e-61,3742.791166967898,2.213574598243256,2.8097004137552997
ratings,nytimes,u_mass,full,0.1784917212319158,0.028653372291963252,4.683914116718113e-10,3984.7823790809057,0.12233214350404994,0.23465129895978168
ratings,all,c_npmi_10,full,2.6034395574640357,0.1742099508420327,1.6975544643931254e-50,7725.188901982879,2.261994328065158,2.944884786862913
ratings,all,c_npmi_10,nytimes_full,2.1981013113509302,0.16887789950263074,9.933798899917528e-39,7781.216878130233,1.8671067105409993,2.5290959121608614
ratings,all,c_npmi_10,test,2.7107382191892757,0.1770356582473394,6.375416418478517e-53,7713.429194264261,2.363754705045149,3.0577217333334024
ratings,all,c_npmi_10,train,2.5197908122345876,0.16808932760072046,8.435154246862253e-51,7723.958926425191,2.190341783951621,2.849239840517554
ratings,all,c_npmi_10,val,1.1723311182473952,0.12597758697891165,1.3289909075218375e-20,7867.477607114816,0.9254195849094663,1.419242651585324
ratings,all,c_npmi_10,wikitext_full,2.7501187898798696,0.17757195481497062,4.223517080422798e-54,7707.1068171164,2.402084153778153,3.098153425981586
ratings,all,c_uci,full,0.22908909620586454,0.014481243891615304,2.275339461206057e-56,7696.580006019378,0.2007063797269579,0.2574718126847712
ratings,all,c_v,full,2.670261989340682,0.11680197837894708,1.1244650909766442e-115,7416.189079311208,2.4413343183949197,2.899189660286444
ratings,all,c_v,nytimes_full,2.2673138510259987,0.11105641043067593,1.2084672363084894e-92,7527.1904010725775,2.0496472863295754,2.484980415722422
ratings,all,c_v,test,2.719647025700405,0.11777989004176556,5.711332292239542e-118,7404.666987305479,2.488802683115457,2.9504913682853533
ratings,all,c_v,train,2.741119640341541,0.11382298052640288,3.831356465992662e-128,7355.259547520526,2.5180306978967875,2.9642085827862945
ratings,all,c_v,val,1.072489700807103,0.07303073940756494,7.989508261026228e-49,7739.016545458953,0.9293520818039457,1.2156273198102603
ratings,all,c_v,wikitext_full,2.5979733597185355,0.11496604243887137,4.560699785295443e-113,7428.375045674144,2.372644057093244,2.823302662343827
ratings,all,u_mass,full,0.14850040446036938,0.022897106053843225,8.840666853485888e-11,7912.1617955556385,0.10362290124464263,0.19337790767609614
intrusions,wikitext,c_npmi_10,full,5.080955462666817,0.4647100377980371,7.962209890482972e-28,4485.568648367682,4.170140525328417,5.991770400005217
intrusions,wikitext,c_npmi_10,nytimes_full,4.113136166747643,0.45209898616045413,9.212374176855923e-20,4525.065398455849,3.2270384364260805,4.999233897069206
intrusions,wikitext,c_npmi_10,test,5.587211943430093,0.48558027021901545,1.2268702101930702e-30,4472.097440039788,4.635492102197595,6.538931784662591
intrusions,wikitext,c_npmi_10,train,5.450006638062949,0.45668501615879176,7.884892162384331e-33,4461.20714723287,4.554920454112625,6.345092822013274
intrusions,wikitext,c_npmi_10,val,0.8660317409273496,0.29792069420276573,0.0036500607651059596,4606.468204900159,0.2821179100407579,1.4499455718139411
intrusions,wikitext,c_uci,full,0.331338161985097,0.03481197983982761,1.7665434625309554e-21,4514.665906238479,0.26310793526850046,0.3995683887016936
intrusions,wikitext,c_v,full,2.7885585130023696,0.2525769221977083,2.438559798056564e-28,4490.359158792324,2.293516842168886,3.283600183835853
