dataset,model,topic_idx,human_idx,c_npmi_10_full,c_npmi_10_nytimes_full,c_npmi_10_test,c_npmi_10_train,c_npmi_10_val,c_uci_full,c_v_full,c_v_nytimes_full,c_v_test,c_v_train,c_v_val,u_mass_full,scores_raw,confidences_raw,c_npmi_10_wikitext_full,c_v_wikitext_full,task
wikitext,mallet,1,3,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,2,1,,,ratings
wikitext,mallet,1,4,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,2,1,,,ratings
wikitext,mallet,1,5,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,1,1,,,ratings
wikitext,mallet,1,6,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,2,1,,,ratings
wikitext,mallet,1,7,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,3,1,,,ratings
wikitext,mallet,1,8,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,2,1,,,ratings
wikitext,mallet,1,9,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,3,1,,,ratings
wikitext,mallet,1,10,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,3,1,,,ratings
wikitext,mallet,1,11,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,3,1,,,ratings
wikitext,mallet,1,12,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,3,1,,,ratings
wikitext,mallet,1,13,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,3,1,,,ratings
wikitext,mallet,1,14,0.1408409632,0.150786364,0.1388167335,0.1698480664,0.0337965747,1.3316717856,0.7091644367,0.6486914882,0.702936224,0.7573649797,0.6527383486,-1.6991709086,2,1,,,ratings
wikitext,mallet,2,0,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,1,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,2,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,2,1,,,ratings
wikitext,mallet,2,3,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,4,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,5,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,6,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,7,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,8,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,9,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,10,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,11,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,2,1,,,ratings
wikitext,mallet,2,12,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,13,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
wikitext,mallet,2,14,0.1663958691,,0.1642471008,0.1905176846,-0.0794970464,1.6797856591,0.7548388697,,0.7512757645,0.7818001522,0.4778622002,-2.7529724102,3,1,,,ratings
